Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden,Etiket,motor_gucu_(kw),batarya_voltaji_(v),menzil,sarj_suresi,pil_kapasitesi_(kwh),plaka_uyrugu
Detail,1811315,20240221,Otomobil,Toyota,1.6 Sol,Sakarya,3102130,24566088,15,527500,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Sol / ,C,24566088,21 Şubat 2024,Corolla,2006,279.000 km,Otomatik,LPG & Benzin,Sedan,Füme,1598 cc,110 hp,Önden Çekiş,İkinci El,"7,5 lt",55 lt,"1 değişen, 5 boyalı",,Sahibinden,,,,,,,
Detail,7873858,20240221,Otomobil,Toyota,1.6 Vision,Balıkesir,7949072,24575282,5,1030000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Vision / ,C,24575282,21 Şubat 2024,Corolla,2020,52.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Şampanya,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,8318624,20240222,Otomobil,Toyota,1.6 Flame X Pack,Adıyaman,8393413,24582884,9,1350000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Flame X Pack / ,C,24582884,22 Şubat 2024,Corolla,2020,17.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Tamamı orjinal,,Sahibinden,Düşük Km,,,,,,
Detail,9117548,20240221,Otomobil,Toyota,1.6 Sol,Diyarbakır,9192268,24573802,14,535000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Sol / ,C,24573802,21 Şubat 2024,Corolla,2007,159.000 km,Düz,Benzin,Sedan,Gri,1598 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",55 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,9540682,20240222,Otomobil,Toyota,1.6 Linea Terra,İstanbul,9615035,24589233,9,390000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Linea Terra / ,C,24589233,22 Şubat 2024,Corolla,2000,205.000 km,Düz,Benzin,Sedan,Kırmızı,1587 cc,110 hp,Önden Çekiş,İkinci El,"7,4 lt",50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,İlk Sahibinden,,,,,,
Detail,2786115,20240222,Otomobil,Toyota,1.6 Elegant,Mardin,2559383,24585705,15,685000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Elegant / ,C,24585705,22 Şubat 2024,Corolla,2011,244.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,124 hp,Önden Çekiş,İkinci El,7 lt,55 lt,"2 değişen, 4 boyalı",,Sahibinden,,,,,,,
Detail,9539896,20240222,Otomobil,Toyota,1.6 Terra Special VVT-i,İstanbul,9614250,24586753,15,480000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra Special VVT-i / ,C,24586753,22 Şubat 2024,Corolla,2006,191.500 km,Düz,Benzin,Hatchback/5,Siyah,1598 cc,110 hp,Önden Çekiş,İkinci El,7 lt,55 lt,8 boyalı,,Sahibinden,,,,,,,
Detail,8901707,20240221,Otomobil,Toyota,1.6 XL,Gaziantep,8976308,24570105,12,280000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XL / ,C,24570105,21 Şubat 2024,Corolla,1991,350.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1587 cc,95 hp,Önden Çekiş,İkinci El,,50 lt,4 boyalı,,Sahibinden,,,,,,,
Detail,9520738,20240220,Otomobil,Toyota,1.6 Advance,Ankara,9595114,24571071,15,965000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Advance / ,C,24571071,20 Şubat 2024,Corolla,2017,51.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,Tamamı orjinal,-,Sahibinden,,,,,,,
Detail,6111994,20240222,Otomobil,Toyota,1.6 Elegant,Zonguldak,6188139,24582247,12,650000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Elegant / ,C,24582247,22 Şubat 2024,Corolla,2011,230.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,124 hp,Önden Çekiş,İkinci El,7 lt,55 lt,3 boyalı,Takasa Uygun,Sahibinden,,,,,,,
